id,time_cost_native,time_cost_rule_only,time_cost_shots_1,time_cost_shots_3,time_cost_for_rule_and_shots_1,time_cost_for_rule_and_shots_3,sysml_xmi_native_score_by_llm,sysml_xmi_rule_only_score_by_llm,sysml_xmi_shots_1_score_by_llm,sysml_xmi_shots_3_score_by_llm,sysml_xmi_for_rule_and_shots_1_score_by_llm,sysml_xmi_for_rule_and_shots_3_score_by_llm,sysml_xmi_native_syntax_pass,sysml_xmi_rule_only_syntax_pass,sysml_xmi_shots_1_syntax_pass,sysml_xmi_shots_3_syntax_pass,sysml_xmi_for_rule_and_shots_1_syntax_pass,sysml_xmi_for_rule_and_shots_3_syntax_pass
_17_0_5_ae502ce_1404259234503_67892_14735,10.399565,17.212402,10.051125,10.535234,12.129425,11.759267,0.75,0.625,0.875,0.875,0.875,0.875,1,1,1,1,1,1
_18_0_1_ae502ce_1416756879015_958399_46765,8.701725,17.668156,7.757191,12.443488,8.8849,10.230835,0.75,0.25,0.75,0.75,0.75,0.875,1,1,1,1,1,1
_17_0_5_ae502ce_1404260429649_489037_15983,16.560277,31.950327,16.185721,11.535356,13.560821,13.387307,0.75,0.875,0.875,0.875,0.875,0.875,1,0,1,1,1,1
_17_0_5_ae502ce_1404333407063_16208_12256,28.753322,28.940395,8.510603,12.688306,12.181503,14.374643,0.75,0.75,0.5,0.625,0.75,0.625,1,1,1,1,1,1
_17_0_5_ae502ce_1404259818876_780429_15244,20.654926,26.085485,7.701829,7.77917,7.733857,9.07195,0.625,0.875,0.5,0.75,0.875,0.75,1,1,1,1,1,1
_17_0_5_ae502ce_1404259168920_248154_14669,13.117582,19.998461,9.601634,9.433929,10.818306,10.72414,0.75,0.625,1,0.875,0.875,0.875,1,0,1,1,1,1
_17_0_5_ae502ce_1404260406889_685161_15917,11.038895,21.650033,9.501809,8.168601,9.088518,11.586243,0.375,0.875,0.875,1,0.875,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409410690295_846394_13844,14.3793,21.794133,6.939218,9.704753,8.004905,9.221484,0.75,0.75,0.625,0.375,0.875,0.875,1,1,1,1,1,1
_18_0_1_1a82048c_1407802176599_929767_14408,13.089973,9.173452,9.295095,11.343491,9.500575,10.45676,0.625,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1
_18_0_1_ae502ce_1409342240141_785446_21728,14.797216,17.934535,6.844573,7.348507,6.531655,10.615145,0.625,0.875,0.5,0.75,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1418963071320_155558_45070,20.362353,31.322528,22.735746,19.936618,22.682588,23.39722,0.25,0.625,0.5,0.25,0.5,0.5,0,1,1,1,1,1
_18_0_1_ae502ce_1416757441952_928966_46984,16.744142,20.726663,11.547647,19.217923,18.600333,19.70539,0.625,0.625,0.375,0.75,0.375,0.375,1,1,1,1,1,1
_18_0_1_ae502ce_1409410711682_793033_13846,9.250727,15.019073,5.984224,8.71748,8.997516,8.056155,0.625,0.875,0.625,0.625,0.875,0.875,1,1,1,1,1,1
_18_0_1_ae502ce_1416757424256_3698_46943,16.102161,21.897401,16.182558,18.070174,14.655061,22.464785,0.625,0.625,0.375,0.375,0.625,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1418675072942_765173_44363,14.592968,15.686308,10.147927,7.85991,10.52337,9.488195,0.625,1,0.75,1,1,1,1,1,1,1,1,1
_17_0_5_ae502ce_1404259018532_759322_14498,25.946731,31.645939,15.622949,23.315614,23.110132,23.934353,0.375,0.25,0.75,0,0.375,0.375,1,1,1,1,1,1
_18_0_1_ae502ce_1421624237573_123910_49216,13.035564,11.038563,7.1293,6.959164,10.41925,8.479032,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1421624216919_182668_49173,11.833541,16.701381,9.582098,8.060872,9.963916,10.812513,0.75,0.75,1,1,1,1,1,1,1,1,1,1
_17_0_5_ae502ce_1404334624530_976505_12889,13.717517,16.435422,15.029092,15.516357,12.004024,17.900751,0.375,0.25,0.625,0.25,0.25,0.25,1,1,1,1,1,1
_18_0_1_ae502ce_1409411752456_603397_14246,14.707844,20.096384,11.854479,21.934966,15.306747,15.653056,0.75,0.75,0.75,0.75,0.875,0.875,1,0,1,1,1,1
_18_0_1_1a82048c_1407803558278_82809_15131,10.038267,19.718349,9.927914,11.394249,11.871449,11.355577,0.875,1,0.875,0.875,0.875,0.875,1,1,1,1,1,1
