id,time_cost_native,time_cost_rule_only,time_cost_shots_1,time_cost_shots_3,time_cost_for_rule_and_shots_1,time_cost_for_rule_and_shots_3,sysml_xmi_native_score_by_llm,sysml_xmi_rule_only_score_by_llm,sysml_xmi_shots_1_score_by_llm,sysml_xmi_shots_3_score_by_llm,sysml_xmi_for_rule_and_shots_1_score_by_llm,sysml_xmi_for_rule_and_shots_3_score_by_llm,sysml_xmi_native_syntax_pass,sysml_xmi_rule_only_syntax_pass,sysml_xmi_shots_1_syntax_pass,sysml_xmi_shots_3_syntax_pass,sysml_xmi_for_rule_and_shots_1_syntax_pass,sysml_xmi_for_rule_and_shots_3_syntax_pass
_18_0_1_ae502ce_1408724509577_854132_20087,10.581049,36.785162,9.468812,15.493608,11.457468,10.559643,0.75,0.75,0.875,0.875,0.875,0.875,1,1,1,1,1,1
_18_0_1_ae502ce_1408723801388_621365_19993,10.042214,22.460613,9.133641,16.193779,9.315213,8.316574,0.375,0.75,1,1,1,1,1,0,1,1,1,1
_18_0_1_ae502ce_1408724866246_39580_20202,13.514134,22.961511,9.432537,15.805026,11.284254,11.38123,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1408718461933_437089_19279,8.47411,19.182093,9.127213,14.678007,11.515882,10.696546,0.75,0.875,0.875,0.875,1,0.875,1,1,1,1,1,1
_18_0_1_ae502ce_1408725202113_726174_20343,15.328286,26.010642,7.360201,15.808646,9.03879,11.419631,0.75,0.75,0.875,0.875,0.875,0.875,1,1,1,1,1,1
_18_0_1_ae502ce_1408723784649_936082_19969,10.054875,25.199805,8.955177,9.390303,10.259841,10.518016,0.25,0.875,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1413162145115_168406_45670,8.611018,17.809791,7.012125,10.204656,11.124103,10.740268,0.75,0.75,1,0.875,1,0.875,1,1,1,1,1,1
_18_0_1_ae502ce_1408725212285_456907_20367,10.560977,20.480538,7.024135,10.228482,7.520173,10.722935,0.75,0.875,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1408723807456_464992_20017,12.179301,15.283816,5.109613,9.612228,10.533752,11.061228,0.75,1,0.875,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1408725801981_553490_20729,10.281487,24.564556,6.044966,7.260306,8.166691,10.564545,0.375,0.75,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1408724218528_865763_20048,10.273429,21.825236,9.329976,9.03088,10.429069,10.81436,0.375,0.75,0.875,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1408725195514_126755_20319,13.124654,23.121507,9.156928,10.07001,7.911684,7.939658,0.75,0.75,1,1,1,1,1,0,1,1,1,1
_18_0_1_ae502ce_1419963373801_942869_47896,10.585338,22.289329,6.930954,10.614758,8.54902,8.348344,0.625,0.625,0.75,0.75,0.75,0.75,1,0,1,1,1,1
_18_1_ae502ce_1424545571212_152719_55861,11.711239,35.633648,7.124686,9.692535,10.741218,10.609696,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1413162696487_808013_45877,11.359608,22.785424,9.493333,16.46258,10.516338,10.130613,0.75,0.875,1,0.625,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1408725225187_934062_20391,9.336098,19.061414,9.779482,11.648242,10.935725,11.478319,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1419959276703_700600_46370,15.334798,23.959666,9.32016,17.489187,11.256935,14.118555,0.75,0.625,0.625,0.5,0.75,0.875,1,1,1,1,1,1
_18_0_1_ae502ce_1419960766180_594631_46537,9.11971,38.29237,7.151573,9.916805,10.828414,11.303513,0.5,0.75,0.875,0.75,0.75,0.875,1,1,1,1,1,1
