id,time_cost_native,time_cost_rule_only,time_cost_shots_1,time_cost_shots_3,time_cost_for_rule_and_shots_1,time_cost_for_rule_and_shots_3,sysml_xmi_native_score_by_llm,sysml_xmi_rule_only_score_by_llm,sysml_xmi_shots_1_score_by_llm,sysml_xmi_shots_3_score_by_llm,sysml_xmi_for_rule_and_shots_1_score_by_llm,sysml_xmi_for_rule_and_shots_3_score_by_llm,sysml_xmi_native_syntax_pass,sysml_xmi_rule_only_syntax_pass,sysml_xmi_shots_1_syntax_pass,sysml_xmi_shots_3_syntax_pass,sysml_xmi_for_rule_and_shots_1_syntax_pass,sysml_xmi_for_rule_and_shots_3_syntax_pass
_18_0_1_ae502ce_1409012384331_589257_15906,15.17198,24.955466,17.966583,31.698484,20.537798,23.929453,0.25,0.625,0.625,0.5,0.625,0.625,1,1,1,1,1,1
_18_0_1_ae502ce_1420129851083_396502_51191,12.884972,21.439498,25.01299,30.08294,30.447959,30.883318,0.25,0.5,0.625,0.5,0.5,0.625,1,1,1,1,1,1
_18_0_1_ae502ce_1409330621943_634165_17497,17.040034,27.916614,17.272981,26.578562,17.021109,22.801829,0.5,0.625,0.625,0.625,0.625,0.625,1,1,1,1,1,1
_18_0_1_ae502ce_1409330618277_474820_17467,16.162957,51.002024,21.096791,34.14642,22.724007,34.570357,0.5,0.625,0.625,0.625,0.5,0.625,0,1,1,1,1,1
_18_0_1_ae502ce_1409012374917_328076_15816,15.208598,31.289325,19.256671,33.138114,18.903837,21.800969,0.5,0.75,0.625,0.625,0.625,0.625,1,1,1,1,1,1
_18_0_1_ae502ce_1414336347571_954225_44765,13.272439,30.979643,21.159431,27.599264,31.366492,33.146877,0.5,0.5,0.625,0.625,0.375,0.625,1,1,1,1,1,1
_18_0_1_ae502ce_1421709647245_480878_51925,12.172116,18.40727,19.07423,22.38649,19.999738,28.700731,0.5,0.5,0.625,0.625,0.625,0.625,1,1,1,1,1,1
_18_0_1_ae502ce_1414336320645_765049_44729,11.628406,30.210368,19.237149,25.216194,25.942372,25.625571,0.5,0.75,0.625,0.625,0.625,0.5,1,1,1,1,1,1
_18_0_1_ae502ce_1421709638431_302851_51817,13.7797,16.080504,22.532902,19.940702,24.779005,27.307277,0.5,0.375,0.625,0.5,0.625,0.625,1,1,1,1,1,1
_18_0_1_ae502ce_1409012377244_688835_15846,12.069649,56.140134,27.228311,28.310494,31.399563,32.842812,0.5,0.75,0.375,0.375,0.75,0.75,1,1,1,1,1,1
