id,time_cost_native,time_cost_rule_only,time_cost_shots_1,time_cost_shots_3,time_cost_for_rule_and_shots_1,time_cost_for_rule_and_shots_3,sysml_xmi_native_score_by_llm,sysml_xmi_rule_only_score_by_llm,sysml_xmi_shots_1_score_by_llm,sysml_xmi_shots_3_score_by_llm,sysml_xmi_for_rule_and_shots_1_score_by_llm,sysml_xmi_for_rule_and_shots_3_score_by_llm,sysml_xmi_native_syntax_pass,sysml_xmi_rule_only_syntax_pass,sysml_xmi_shots_1_syntax_pass,sysml_xmi_shots_3_syntax_pass,sysml_xmi_for_rule_and_shots_1_syntax_pass,sysml_xmi_for_rule_and_shots_3_syntax_pass
_17_0_5_ae502ce_1404343123994_708412_15460,16.500164,11.298815,22.99583,26.273777,19.894552,29.114962,0.5,0.625,0.75,0.75,0.625,0.375,1,1,1,1,1,1
_17_0_5_ae502ce_1404343160078_249524_15472,14.205917,14.297742,29.873519,26.267749,24.097273,25.268702,0.5,0.375,0.25,0.75,0.75,0.75,1,1,1,1,1,1
_17_0_5_ae502ce_1404341285063_375444_14937,11.350867,12.279169,25.960881,30.062007,21.224027,28.871845,0.5,0.625,0.625,0.625,0.625,0.375,1,1,1,1,1,1
_17_0_5_ae502ce_1404341585934_90415_15122,11.376279,17.278497,22.210148,22.199477,22.563577,27.539272,0.625,0.75,0.75,0.75,0.625,0.375,1,1,1,1,1,1
_17_0_5_ae502ce_1404341611175_323483_15140,23.55829,12.93707,22.471722,21.769654,24.052987,25.283134,0.5,0.625,0.25,0.5,0.625,0.375,1,1,1,1,1,1
_17_0_5_ae502ce_1404343259388_180148_15484,20.660065,12.166624,17.022196,20.233168,19.709944,20.760404,1,0.375,1,1,1,1,1,1,1,1,1,1
_17_0_5_ae502ce_1404343495733_515819_15547,20.588242,10.405151,16.876078,18.779985,20.248608,20.756603,1,0.75,1,1,1,1,1,1,1,1,1,1
_17_0_5_ae502ce_1404341297918_597882_14949,38.592889,19.200561,21.585792,26.192535,24.249729,25.233233,0.5,0.75,0.625,0.625,0.375,0.375,1,1,1,1,1,1
_17_0_5_ae502ce_1404343461770_545151_15526,17.710066,17.493961,19.844762,22.876862,24.301162,25.477641,0.5,0.625,0.625,0.75,0.625,0.75,1,1,1,1,1,1
_18_0_1_1a82048c_1407885412227_810116_19409,17.439522,12.112766,16.791575,26.399627,18.923806,30.085977,0.625,0.75,1,0.75,1,0.625,1,1,1,1,1,1
_18_0_1_1a82048c_1407885619102_713881_19493,21.151729,13.327531,17.792966,22.303769,19.664711,23.295004,0.625,0.625,0.625,0.625,0.625,0.625,1,1,1,1,1,1
_18_0_1_1a82048c_1407885454149_52892_19448,21.584763,9.88188,20.440441,19.258012,19.729389,20.871368,0.5,0.625,0.375,0.25,0.625,0.625,1,1,1,1,1,1
_18_0_1_1a82048c_1407885711759_808142_19563,16.80769,14.029493,17.795847,20.036217,17.061623,22.18681,0.75,0.75,0.75,0.375,0.375,0.375,1,1,1,1,1,1
_18_0_1_1a82048c_1407885553946_652093_19472,14.544759,12.111978,20.438447,21.89226,20.870771,27.893731,0.5,0.625,0.625,0.625,0.625,0.375,1,1,1,1,1,1
_18_0_1_1a82048c_1407974979777_469397_20242,15.262017,17.720851,14.579709,14.006014,15.258958,17.366925,0.5,0.75,0.75,0.625,0.625,0.625,1,1,1,1,1,1
_18_0_1_1a82048c_1407885615149_920588_19484,14.087473,9.57792,22.095407,24.076332,19.967907,30.180129,0.5,0.75,0.625,0.625,0.625,0.5,1,1,1,1,1,1
_18_0_1_1a82048c_1407976899847_213870_21447,14.088884,12.308408,18.103838,18.925872,19.285208,22.089493,0.5,0.375,0.25,0.625,0.375,0.375,1,1,1,1,1,1
_18_0_1_1a82048c_1407976604315_74336_21387,13.148563,15.919131,20.116505,18.066458,16.254509,21.381773,0.625,0.375,0.625,0.625,0.375,0.5,0,1,1,1,1,1
_18_0_1_1a82048c_1408063077179_988805_21683,21.580051,11.319595,18.101738,18.687661,12.975256,12.980812,0.5,0.75,0.625,0.625,0.625,0.375,1,1,1,1,1,1
_18_0_1_1a82048c_1407976592565_279618_21369,18.171408,12.797478,17.857618,21.648859,20.707882,26.277125,0.5,0.625,0.5,0.5,0.5,0.375,1,1,1,1,1,1
_18_0_1_1a82048c_1407976906628_103379_21459,16.262957,9.463685,21.074524,24.643476,20.855301,19.997743,0.5,0.375,0.5,0.5,0.625,0.5,1,1,1,1,1,1
_18_0_1_ae502ce_1409014572440_378433_19304,10.330921,15.551885,18.346695,19.167513,16.668173,18.194693,0.5,0.25,0.5,0,0.25,0.375,1,1,1,1,1,1
_18_0_1_ae502ce_1409014051981_22503_18932,14.846401,16.334809,17.679026,20.355995,20.240285,19.941615,0.75,0.625,0.625,0.5,0,0.625,0,1,1,1,1,1
_18_0_1_1a82048c_1407885526461_577795_19460,35.944749,18.061405,17.913418,22.674027,22.70447,25.451598,0.5,0.625,0.625,0.625,0.625,0.625,1,1,1,1,1,1
_18_0_1_ae502ce_1409014218979_881972_19067,29.436241,15.795162,20.254883,21.678663,16.542277,21.37957,0.625,0.5,0.625,0.625,0.5,0.5,1,1,1,1,1,1
_18_0_1_ae502ce_1409015308551_721401_19716,18.252453,35.42374,15.997968,15.542048,11.651236,14.517583,0.5,0.75,0.625,0.375,0.625,0.625,0,1,1,1,1,1
_18_0_1_ae502ce_1409014872086_11610_19427,13.126175,22.341185,17.273841,19.159188,14.931439,24.916515,0.625,0.25,0.375,0.375,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1409102256711_213224_13684,12.522664,12.313235,23.623262,24.248796,21.88088,20.771002,0.5,0.625,0.875,0.875,0.875,0.75,0,1,1,1,1,1
_18_0_1_ae502ce_1409014683184_420829_19354,12.933426,17.309016,18.821436,18.189712,21.261914,21.552791,0.75,0.625,0.375,0.625,0.375,0.625,0,1,1,1,1,1
_18_0_1_ae502ce_1409017729874_265352_20559,11.712136,19.223517,20.153268,21.687377,20.265831,25.261854,0.625,0.625,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1409108327399_848358_16052,10.731079,15.614374,22.098337,18.514183,19.025118,23.068127,0.625,0.625,0.375,0,0.25,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1409108337071_896438_16136,13.276441,19.855425,14.036761,18.384363,15.650355,14.929822,0.375,0.75,0.5,0.375,0.625,0.5,1,1,1,1,1,1
_18_0_1_ae502ce_1409108409873_118399_16321,12.521787,15.819017,17.983308,16.156534,14.305182,19.001414,0.625,0.625,0.375,0.875,0.75,0.5,0,1,1,1,1,1
_18_0_1_ae502ce_1409022130778_300652_21480,11.953543,22.226738,19.028122,25.871799,21.484912,29.765531,0.625,0.375,0.75,0.875,0.75,0.5,1,1,1,1,1,1
_18_0_1_ae502ce_1409102231420_658165_13585,11.816691,13.95689,25.551623,28.229744,26.42771,30.586347,0.625,0.625,1,0.875,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409108419170_708736_16417,11.449972,16.213201,19.081775,14.212519,11.432897,16.56656,0.625,0.5,0.75,0.5,0.625,0.5,1,1,1,1,1,1
_18_0_1_ae502ce_1409321593739_211157_14871,13.425655,12.74284,18.311278,17.490626,23.02378,18.106126,0.625,0.625,0.625,0.625,0.875,0.375,0,1,1,1,1,1
_18_0_1_ae502ce_1409187087336_904264_13853,11.99155,17.631996,17.99972,25.990408,24.038293,30.073288,0.625,0.625,0.625,0.875,0.75,0.875,0,1,1,1,1,1
_18_0_1_ae502ce_1409102206850_219705_13492,11.521075,16.232287,27.113743,26.501026,28.571317,30.89476,0.625,0.625,0.875,0.875,0.875,1,0,1,1,1,1,1
_18_0_1_ae502ce_1409321730130_603821_14895,12.100729,15.962775,24.03347,26.193064,28.772102,30.536822,0.625,0.625,0.5,0.875,0.5,0.5,0,1,1,1,1,1
_18_0_1_ae502ce_1409336203385_886519_18321,12.295706,12.489167,17.384913,20.754294,21.747365,30.806529,0.625,0.625,0.625,0.875,0.875,0.875,0,1,1,1,1,1
_18_0_1_ae502ce_1409187272776_77664_13987,14.640332,17.237261,26.394624,27.421721,28.561255,31.892801,0.375,0.375,1,0.875,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1413155600186_464374_43779,11.201615,14.520246,20.053794,13.50585,21.878004,23.222547,0.5,0.625,0.625,0.625,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1409243627396_979945_17192,13.820478,21.904265,30.596815,26.396508,28.709244,30.3922,0.375,0.375,0.5,0.875,0.875,0.875,0,1,1,1,1,1
_18_0_1_ae502ce_1413155743292_16970_43965,11.617723,13.388585,11.392909,19.127886,12.587404,12.77992,0.625,0.625,0.625,0.625,0.625,0.625,1,1,1,1,1,1
_18_0_1_ae502ce_1413155800404_912002_44058,14.064481,12.520963,17.495327,25.044557,14.104848,13.193554,0.75,0.375,0.625,0.875,0.625,0.625,0,1,1,1,1,1
_18_0_1_ae502ce_1409321749459_813191_14982,12.088369,22.336194,19.228772,25.885985,14.93202,22.744219,0.625,0.375,0.625,0.875,0.625,0.875,0,1,1,1,1,1
_18_0_1_ae502ce_1409341724278_329861_20929,11.528322,24.5827,17.900681,21.055566,21.46602,33.209647,0.625,0.375,0.625,0.75,0.75,0.875,0,1,1,1,1,1
_18_0_1_ae502ce_1409339892930_378985_20088,31.985779,16.77703,23.324317,19.854533,13.394373,22.492445,0.625,0.625,0.5,0.625,0.625,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1409324010038_351946_16631,12.330669,21.800877,19.026733,27.091923,22.602503,30.293687,0.5,0.375,0.625,0.875,0.75,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409337584202_779145_18524,34.397467,12.387094,19.51937,26.29881,14.853376,29.941192,0.375,0.625,0.75,0.875,0.625,0.5,1,1,1,1,1,1
_18_0_1_ae502ce_1413155694691_731187_43866,17.340315,25.735743,18.913908,22.712413,21.788053,30.596318,0.375,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1
_18_0_1_ae502ce_1413158275438_469328_44474,11.176648,13.813889,25.22296,26.193055,28.57929,31.713127,0.25,0.625,0.5,0.875,0.875,0.5,1,1,1,1,1,1
_18_0_1_ae502ce_1413155993415_630431_44145,22.140522,13.321238,26.086361,25.578599,28.410611,30.58641,0.625,0.625,0.875,0.875,0.5,0.5,1,1,1,1,1,1
_18_0_1_ae502ce_1413156912960_577855_44352,12.621899,26.284632,25.145674,26.376928,28.50038,29.952889,0.75,0.625,0.875,0.875,0.875,0.875,1,1,1,1,1,1
_18_0_1_ae502ce_1413158666540_380682_44708,15.534047,16.847959,25.171476,25.34877,28.640361,30.18937,0.625,0.625,0.875,0.5,0.875,0.5,0,1,1,1,1,1
_18_0_1_ae502ce_1413158580029_829380_44597,11.517026,14.084054,25.374361,26.380209,29.2497,30.733723,0.625,0.375,0.875,0.75,0.875,0.875,0,1,1,1,1,1
_18_0_1_ae502ce_1414676765451_490949_45001,17.456568,12.676913,14.314293,18.056102,21.617781,28.437127,0.625,0.625,0.375,0.875,0.625,0.5,1,1,1,1,1,1
_18_0_1_ae502ce_1413159660850_916798_45065,13.773498,12.998041,28.130841,26.299122,29.089641,29.073315,0.625,0.625,1,0.875,0.5,1,0,1,1,1,1,1
_18_0_1_ae502ce_1413159159033_276442_44843,11.504846,16.345922,18.926172,26.500242,26.44338,30.191447,0.625,0.625,0.625,0.5,0.625,0.875,0,1,1,1,1,1
_18_0_1_ae502ce_1414677220511_46409_45145,18.578417,12.777197,18.245132,20.233563,20.863871,21.981622,0.75,0.625,1,1,1,1,0,1,1,1,1,1
_18_0_1_ae502ce_1413160085048_202510_45269,12.624124,15.265463,19.298497,25.246902,25.90064,32.025092,0.625,0.625,0.75,0.5,0.75,1,0,0,1,1,1,1
_18_0_1_ae502ce_1421697388528_590466_48655,29.221,12.483687,10.833066,16.833794,12.709853,17.466401,0.625,0.625,0.625,0.375,0.625,0.375,0,1,1,1,1,1
_18_0_1_ae502ce_1413159248741_856284_44948,13.114739,14.286529,25.258948,26.053303,28.737891,29.877958,0.375,0.625,1,1,0.5,0.875,0,1,1,1,1,1
_18_0_1_ae502ce_1421697382725_118337_48623,12.637786,15.597573,17.588341,17.495236,13.594203,19.432625,0.625,0.375,0.75,0.75,0.375,0.75,0,1,1,1,1,1
_18_0_1_ae502ce_1409021708094_573955_21136,25.698077,18.000027,16.499924,17.674275,15.823245,16.993638,0.625,0.625,1,0.75,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1416152383238_222386_45654,12.347964,9.723319,24.75962,26.215335,28.766408,30.596614,0.625,0.625,1,1,1,1,0,1,1,1,1,1
_18_0_1_ae502ce_1416152480271_45375_45783,20.247198,12.549766,12.882336,26.488264,19.347381,33.257292,0.625,0.625,0.625,0.875,0.625,0.5,1,1,1,1,1,1
_18_0_1_ae502ce_1413159711745_301789_45164,14.837412,13.723447,25.166869,26.750579,19.33243,32.402887,0.625,0.625,0.875,0.875,0.75,0.875,0,1,1,1,1,1
_18_0_1_1a82048c_1407802708878_571120_15052,19.007405,25.076693,16.362022,21.892296,16.773366,25.026887,1,1,1,0.375,1,0.75,1,1,1,1,1,1
_18_5_ae502ce_1494776710920_549653_54512,21.722769,12.800129,17.240678,24.550453,17.322112,23.224284,1,0.75,1,0.75,1,1,1,1,1,1,1,1
