id,time_cost_native,time_cost_rule_only,time_cost_shots_1,time_cost_shots_3,time_cost_for_rule_and_shots_1,time_cost_for_rule_and_shots_3,sysml_xmi_native_score_by_llm,sysml_xmi_rule_only_score_by_llm,sysml_xmi_shots_1_score_by_llm,sysml_xmi_shots_3_score_by_llm,sysml_xmi_for_rule_and_shots_1_score_by_llm,sysml_xmi_for_rule_and_shots_3_score_by_llm,sysml_xmi_native_syntax_pass,sysml_xmi_rule_only_syntax_pass,sysml_xmi_shots_1_syntax_pass,sysml_xmi_shots_3_syntax_pass,sysml_xmi_for_rule_and_shots_1_syntax_pass,sysml_xmi_for_rule_and_shots_3_syntax_pass
_18_0_1_1a82048c_1407752817746_514287_13749,36.382543,18.750381,9.280551,10.152267,10.193011,10.189898,0.625,0.875,1,1,1,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407804064053_702284_16097,10.604981,13.909799,8.755746,8.408511,9.359401,10.27564,1,0.875,1,1,0.875,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407752622652_439847_13733,29.251371,16.596463,8.2681,7.795152,8.792616,8.393301,0.75,0.875,0.875,0.875,1,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407804041961_129337_16094,11.31294,14.186117,8.673744,8.926418,8.752078,9.727518,0.875,0.875,1,1,1,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407752723261_769541_13740,36.035726,18.662364,8.853313,9.527788,10.064881,10.168321,0.625,0.875,0.75,1,1,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407752839793_100183_13752,41.120403,15.460965,10.024412,10.126971,15.237206,10.567324,0.375,0.75,1,1,1,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407804097782_171308_16103,24.167704,13.177201,8.209609,9.002446,8.660346,9.506999,0.375,1,1,1,1,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407806286749_793928_17137,26.014827,16.003736,8.500672,9.668272,16.637554,11.092295,0.625,0.875,0.75,1,1,0.875,1,1,1,1,1,1
_18_0_1_1a82048c_1407804084461_769416_16100,27.024028,13.462052,8.7851,9.204005,8.669584,9.919037,0.625,0.875,1,1,1,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407806384902_857557_17175,33.474062,15.63235,8.362204,11.391374,10.81524,11.302188,0.75,0.875,0.75,0.75,1,1,1,1,1,1,1,1
