id,time_cost_native,time_cost_rule_only,time_cost_shots_1,time_cost_shots_3,time_cost_for_rule_and_shots_1,time_cost_for_rule_and_shots_3,sysml_xmi_native_score_by_llm,sysml_xmi_rule_only_score_by_llm,sysml_xmi_shots_1_score_by_llm,sysml_xmi_shots_3_score_by_llm,sysml_xmi_for_rule_and_shots_1_score_by_llm,sysml_xmi_for_rule_and_shots_3_score_by_llm,sysml_xmi_native_syntax_pass,sysml_xmi_rule_only_syntax_pass,sysml_xmi_shots_1_syntax_pass,sysml_xmi_shots_3_syntax_pass,sysml_xmi_for_rule_and_shots_1_syntax_pass,sysml_xmi_for_rule_and_shots_3_syntax_pass
_17_0_5_ae502ce_1404341949337_626437_15233,12.436878,26.14707,15.419743,11.743546,10.565764,10.918825,0.5,0.75,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1414676870769_643902_45034,29.188279,16.41206,16.952605,12.497654,12.751548,12.874768,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_17_0_5_ae502ce_1404343503533_865480_15558,30.111133,19.984914,8.567953,10.618333,9.215772,14.015682,0.5,1,0.75,1,0.625,0.375,1,1,1,1,1,1
_18_0_1_ae502ce_1414676889567_302060_45038,39.186295,22.860967,16.957322,11.77549,11.161471,15.272532,0.5,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_17_0_5_ae502ce_1404341916312_339591_15222,37.59221,22.827673,16.988913,11.479294,10.707799,11.380289,0.625,0.75,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409319546422_662488_14637,12.627202,16.192493,8.454061,10.979095,9.712493,10.102888,0.75,0.75,1,1,1,1,1,1,1,1,1,1
_17_0_5_ae502ce_1404343280463_452963_15495,29.461126,19.659177,8.533189,11.936392,10.224583,15.238765,0.625,0.375,0.75,0.375,1,0.75,1,1,1,1,1,1
_18_1_ae502ce_1424548591487_160338_56915,41.481595,16.545221,11.208043,11.29584,12.830514,13.754132,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_1_ae502ce_1424548239316_466415_56791,22.680023,15.533791,10.941757,12.370919,12.458727,13.869128,0.625,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1414676846574_909355_45028,51.68843,15.612975,11.548192,16.463014,14.462995,13.610989,0.625,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_1_ae502ce_1424548613731_522662_56927,45.632624,11.953269,11.146735,11.551281,12.467034,13.409651,0.625,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1418487058490_65428_44357,38.231499,16.686761,11.33503,11.941708,10.755678,13.068498,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_5_1_ae502ce_1502474026823_919424_56278,30.214333,16.313859,9.306079,13.754549,10.929734,10.998761,0.625,0.875,0.75,0.875,0.75,0.875,0,1,1,1,1,1
_18_0_1_ae502ce_1414676072720_214898_44855,15.913203,16.228977,9.01771,10.840566,11.351584,13.293814,0.5,0.625,0.375,0.75,0.75,0.375,0,1,1,1,1,1
_18_1_ae502ce_1448327935670_496141_48041,10.216751,14.266237,12.241719,11.330272,11.850926,12.994306,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1
_18_1_ae502ce_1448328027781_337879_48083,43.144102,17.731827,9.632457,10.535191,13.505778,11.34602,0.75,0.75,0.75,0.75,0.75,0.75,0,1,1,1,1,1
_18_0_1_ae502ce_1418487109986_131195_44363,48.839773,16.306173,11.555081,12.229018,12.794659,11.863913,0.75,0.625,0.375,0.75,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1418487029880_759438_44351,44.496346,23.612074,30.70805,13.527165,13.70506,13.673924,0.375,0.75,0.625,0.75,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1416778055891_196618_52197,40.302479,18.061829,26.565729,14.701596,9.956468,15.479097,0.625,0.75,0.625,0.75,0.75,0.75,1,1,1,1,1,1
