id,time_cost_native,time_cost_rule_only,time_cost_shots_1,time_cost_shots_3,time_cost_for_rule_and_shots_1,time_cost_for_rule_and_shots_3,sysml_xmi_native_score_by_llm,sysml_xmi_rule_only_score_by_llm,sysml_xmi_shots_1_score_by_llm,sysml_xmi_shots_3_score_by_llm,sysml_xmi_for_rule_and_shots_1_score_by_llm,sysml_xmi_for_rule_and_shots_3_score_by_llm,sysml_xmi_native_syntax_pass,sysml_xmi_rule_only_syntax_pass,sysml_xmi_shots_1_syntax_pass,sysml_xmi_shots_3_syntax_pass,sysml_xmi_for_rule_and_shots_1_syntax_pass,sysml_xmi_for_rule_and_shots_3_syntax_pass
_18_1_ae502ce_1448820141767_477822_51166,15.227588,20.063237,19.179439,23.36708,22.168034,22.670604,0.875,0.875,0.875,1,0.875,0.875,1,1,1,1,1,1
_18_0_1_ae502ce_1418964826316_114406_45654,9.188822,16.87209,13.087113,,,,,,,,,,,,,,,
"_1437993648413_233626_14521""""/>",,,,,,,,,,,,,,,,,,
"    <node xmi:idref=""""_18_2beta_8c4028a_1436534385586_196134_43954""""/>",,,,,,,,,,,,,,,,,,
"    <node xmi:idref=""""_18_2beta_8c4028a_1436534428585_197551_43982""""/>",,,,,,,,,,,,,,,,,,
"    <node xmi:idref=""""_18_2beta_8c4028a_1437991968615_244697_14444""""/>",,,,,,,,,,,,,,,,,,
"    <node xmi:idref=""""_18_2beta_8c4028a_1437992078509_596582_14466""""/>",,,,,,,,,,,,,,,,,,
"    <node xmi:idref=""""_18_2beta_8c4028a_1437993629569_326916_14504""""/>",,,,,,,,,,,,,,,,,,
  </group>,,,,,,,,,,,,,,,,,,
"  <node xmi:type=""""uml:InitialNode"""" xmi:id=""""_18_2beta_8c4028a_1436534380209_610128_43948"""" visibility=""""public"""">",,,,,,,,,,,,,,,,,,
"    <inPartition xmi:idref=""""_18_2beta_8c4028a_1436534358827_375386_43930""""/>",,,,,,,,,,,,,,,,,,
  </node>,,,,,,,,,,,,,,,,,,
"  <node xmi:type=""""uml:ActivityFinalNode"""" xmi:id=""""_18_2beta_8c4028a_1436534385586_196134_43954"""" visibility=""""public"""">",,,,,,,,,,,,,,,,,,
