id,time_cost_native,time_cost_rule_only,time_cost_shots_1,time_cost_shots_3,time_cost_for_rule_and_shots_1,time_cost_for_rule_and_shots_3,sysml_xmi_native_score_by_llm,sysml_xmi_rule_only_score_by_llm,sysml_xmi_shots_1_score_by_llm,sysml_xmi_shots_3_score_by_llm,sysml_xmi_for_rule_and_shots_1_score_by_llm,sysml_xmi_for_rule_and_shots_3_score_by_llm,sysml_xmi_native_syntax_pass,sysml_xmi_rule_only_syntax_pass,sysml_xmi_shots_1_syntax_pass,sysml_xmi_shots_3_syntax_pass,sysml_xmi_for_rule_and_shots_1_syntax_pass,sysml_xmi_for_rule_and_shots_3_syntax_pass
_18_0_1_ae502ce_1419801299923_318792_47804,15.35542,15.383199,8.562745,7.9183,8.522356,12.225798,0.375,0.75,0.625,0.625,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1419801239520_703074_47742,14.979162,37.329003,9.209065,9.096201,16.716869,12.630157,0.25,0.75,0.375,0.625,0.75,0.75,1,1,1,1,1,1
_18_1_ae502ce_1424566485956_485234_62703,11.45253,14.572437,9.812504,10.110649,7.568348,9.663861,0.75,0.75,0.625,0.375,0.875,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1419801338050_648954_47846,20.254546,16.669576,11.358804,6.793075,11.923922,8.227471,0.75,0.75,0.625,0.75,0.75,0.75,1,1,1,1,1,1
_18_1_ae502ce_1424566493007_111752_62717,10.721502,14.433788,9.407802,9.314694,8.149956,8.173552,0.5,0.75,0.75,0.625,0.875,0.875,1,1,1,1,1,1
_18_0_1_ae502ce_1419863279981_148139_45981,11.307814,14.504468,10.22881,7.158136,17.329094,12.074479,0.625,0.75,0.75,0.625,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1419863276845_549547_45971,10.644676,14.800637,12.276357,23.277425,15.458936,12.072601,0.75,0.875,0.625,0.5,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1419801341872_209135_47856,21.278184,14.579199,7.255116,6.971318,14.115143,12.99986,0.25,0.75,0.625,0.625,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1419801284417_8782_47780,15.458113,13.48614,11.051739,11.811298,11.419679,13.923418,0.125,0.625,0.5,0.5,0.625,0.625,1,1,1,1,1,1
_18_0_1_ae502ce_1419803457349_797644_51087,19.157732,15.392051,6.139736,31.059698,13.507533,14.021508,0.5,0.375,0.625,0.625,0.625,0.625,1,1,1,1,1,1
_18_0_1_ae502ce_1419804532615_934738_52018,13.754722,13.746744,11.899726,12.366853,21.82347,12.900384,0.375,0.5,0.375,0.375,0.625,0.5,1,1,1,1,1,1
_18_0_1_ae502ce_1419803460656_330094_51097,14.786598,13.813092,10.125112,8.225548,11.695444,34.409237,0.25,0.75,0.625,0.625,0.625,0.875,1,1,1,1,1,1
_18_0_1_ae502ce_1419863273897_204306_45961,15.471218,38.710633,9.30913,17.896089,11.804806,21.801597,0.5,0.75,0.625,0.5,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1419802287299_383604_50336,12.261882,15.25664,18.423367,7.057096,21.085644,29.892181,0.25,0.75,0.5,0.625,0.375,0.625,1,1,1,1,1,1
