id,time_cost_native,time_cost_rule_only,time_cost_shots_1,time_cost_shots_3,time_cost_for_rule_and_shots_1,time_cost_for_rule_and_shots_3,sysml_xmi_native_score_by_llm,sysml_xmi_rule_only_score_by_llm,sysml_xmi_shots_1_score_by_llm,sysml_xmi_shots_3_score_by_llm,sysml_xmi_for_rule_and_shots_1_score_by_llm,sysml_xmi_for_rule_and_shots_3_score_by_llm,sysml_xmi_native_syntax_pass,sysml_xmi_rule_only_syntax_pass,sysml_xmi_shots_1_syntax_pass,sysml_xmi_shots_3_syntax_pass,sysml_xmi_for_rule_and_shots_1_syntax_pass,sysml_xmi_for_rule_and_shots_3_syntax_pass
_18_0_1_ae502ce_1414962278681_752855_46950,17.302694,19.805712,25.878344,23.402465,16.478475,17.492549,0.75,0.75,0.625,0.625,0.75,0.75,0,0,0,0,0,0
_17_0_5_ae502ce_1404244059565_458514_11897,11.28264,12.98078,12.501067,12.601207,8.493686,10.331682,0.375,1,0.625,1,1,1,1,0,1,1,1,1
_18_0_1_ae502ce_1409240268052_756874_14298,11.431123,16.044226,11.882813,,,,,,,,,,,,,,,
"visibility=""""public"""" source=""""_16_0beta1_1b500480_1221812671139_627245_8661"""" target=""""_16_0beta1_1b500480_1221812338943_451913_8579"""">",,,,,,,,,,,,,,,,,,
"        <inPartition xmi:idref=""""_16_0beta1_1b500480_1221807568430_167064_8389""""/>",,,,,,,,,,,,,,,,,,
"        <weight xmi:type=""""uml:LiteralUnlimitedNatural"""" xmi:id=""""_16_0beta1_1b500480_1221813363068_349177_8983"""" value=""""1""""/>",,,,,,,,,,,,,,,,,,
      </edge>,,,,,,,,,,,,,,,,,,
"      <edge xmi:type=""""uml:ObjectFlow"""" xmi:id=""""_16_0beta1_1b500480_1221813365255_898473_8987"""" visibility=""""public"""" source=""""_16_0beta1_1b500480_1221812338943_451913_8579"""" target=""""_16_0beta1_1b500480_1221812869411_478031_8754"""">",,,,,,,,,,,,,,,,,,
"        <weight xmi:type=""""uml:LiteralUnlimitedNatural"""" xmi:id=""""_16_0beta1_1b500480_1221813365255_511566_8988"""" value=""""1""""/>",,,,,,,,,,,,,,,,,,
      </edge>,,,,,,,,,,,,,,,,,,
"      <edge xmi:type=""""uml:ObjectFlow"""" xmi:id=""""_16_0beta1_1b500480_1221813391506_666894_9005"""" visibility=""""public"""" source=""""_16_0beta1_1b500480_1221812915522_506844_8777"""" target=""""_16_0beta1_1b500480_1221812859786_171351_8738"""">",,,,,,,,,,,,,,,,,,
"        <weight xmi:type=""""uml:LiteralUnlimitedNatural"""" xmi:id=""""_16_0beta1_1b500480_1221813391506_47491_9006"""" value=""""1""""/>",,,,,,,,,,,,,,,,,,
      </edge>,,,,,,,,,,,,,,,,,,
"      <edge xmi:type=""""uml:ObjectFlow"""" xmi:id=""""_16_0beta1_1b500480_1221813394256_81578_9010"""" visibility=""""public"""" source=""""_16_0beta1_1b500480_1221812859786_171351_8738"""" target=""""_16_0beta1_1b500480_1221813052261_306465_8833"""">",,,,,,,,,,,,,,,,,,
"        <inPartition xmi:idref=""""_16_0beta1_1b500480_1221807568430_154809_8392""""/>",,,,,,,,,,,,,,,,,,
"        <weight xmi:type=""""uml:LiteralUnlimitedNatural"""" xmi:id=""""_16_0beta1_1b500480_1221813394256_699282_9011"""" value=""""1""""/>",,,,,,,,,,,,,,,,,,
      </edge>,,,,,,,,,,,,,,,,,,
"      <edge xmi:type=""""uml:ObjectFlow"""" xmi:id=""""_16_0beta1_1b500480_1221813398709_172380_9015"""" visibility=""""public"""" source=""""_16_0beta1_1b500480_1221813052261_306465_8833"""" target=""""_16_0beta1_1b500480_1221812837066_35990_8722"""">",,,,,,,,,,,,,,,,,,
"        <weight xmi:type=""""uml:LiteralUnlimitedNatural"""" xmi:id=""""_16_0beta1_1b500480_1221813398709_848971_9016"""" value=""""1""""/>",,,,,,,,,,,,,,,,,,
      </edge>,,,,,,,,,,,,,,,,,,
"      <edge xmi:type=""""uml:ObjectFlow"""" xmi:id=""""_16_0beta1_1b500480_1221813426835_848843_9038"""" visibility=""""public"""" source=""""_16_0beta1_1b500480_1221813409491_687832_9019"""" target=""""_19_0_8db0281_1519805254874_965476_15315"""">",,,,,,,,,,,,,,,,,,
"        <weight xmi:type=""""uml:LiteralUnlimitedNatural"""" xmi:id=""""_16_0beta1_1b500480_1221813426835_643042_9039"""" value=""""1""""/>",,,,,,,,,,,,,,,,,,
      </edge>,,,,,,,,,,,,,,,,,,
"      <edge xmi:type=""""uml:ObjectFlow"""" xmi:id=""""_16_0beta1_1b500480_1221813430273_371797_9043"""" visibility=""""public"""" source=""""_16_0beta1_1b500480_1221812788112_648954_8704"""" target=""""_19_0_8db0281_1519805254874_965476_15315"""">",,,,,,,,,,,,,,,,,,
"        <weight xmi:type=""""uml:LiteralUnlimitedNatural"""" xmi:id=""""_16_0beta1_1b500480_1221813430273_28666_9044"""" value=""""1""""/>",,,,,,,,,,,,,,,,,,
      </edge>,,,,,,,,,,,,,,,,,,
"      <edge xmi:type=""""uml:ObjectFlow"""" xmi:id=""""_16_0beta1_1b500480_1221813454977_993608_9050"""" visibility=""""public"""" source=""""_19_0_8db0281_1519805254874_965476_15315"""" target=""""_16_0beta1_1b500480_1221812590793_468998_8650"""">",,,,,,,,,,,,,,,,,,
"        <inPartition xmi:idref=""""_16_0beta1_1b500480_1221807835719_475217_8475""""/>",,,,,,,,,,,,,,,,,,
"        <weight xmi:type=""""uml:LiteralUnlimitedNatural"""" xmi:id=""""_16_0beta1_1b500480_1221813454977_483470_9051"""" value=""""1""""/>",,,,,,,,,,,,,,,,,,
      </edge>,,,,,,,,,,,,,,,,,,
"      <edge xmi:type=""""uml:ObjectFlow"""" xmi:id=""""_16_0beta1_1b500480_1221813466665_562036_9053"""" visibility=""""public"""" source=""""_16_0beta1_1b500480_1221812671139_627245_8661"""" target=""""_16_0beta1_1b500480_1221812915522_506844_8777"""">",,,,,,,,,,,,,,,,,,
"        <inPartition xmi:idref=""""_16_0beta1_1b500480_1221807568430_167064_8389""""/>",,,,,,,,,,,,,,,,,,
"        <weight xmi:type=""""uml:LiteralUnlimitedNatural"""" xmi:id=""""_16_0beta1_1b500480_1221813466665_490281_9054"""" value=""""1""""/>",,,,,,,,,,,,,,,,,,
      </edge>,,,,,,,,,,,,,,,,,,
"      <edge xmi:type=""""uml:ObjectFlow"""" xmi:id=""""_16_0beta1_1b500480_1221813515947_644612_9060"""" visibility=""""public"""" source=""""_16_0beta1_1b500480_1221813372474_288819_8991"""" target=""""_16_0beta1_1b500480_1221812492259_719204_8636"""">",,,,,,,,,,,,,,,,,,
"        <weight xmi:type=""""uml:LiteralUnlimitedNatural"""" xmi:id=""""_16_0beta1_1b500480_1221813515947_747650_9061"""" value=""""1""""/>",,,,,,,,,,,,,,,,,,
      </edge>,,,,,,,,,,,,,,,,,,
