id,time_cost_native,time_cost_rule_only,time_cost_shots_1,time_cost_shots_3,time_cost_for_rule_and_shots_1,time_cost_for_rule_and_shots_3,sysml_xmi_native_score_by_llm,sysml_xmi_rule_only_score_by_llm,sysml_xmi_shots_1_score_by_llm,sysml_xmi_shots_3_score_by_llm,sysml_xmi_for_rule_and_shots_1_score_by_llm,sysml_xmi_for_rule_and_shots_3_score_by_llm,sysml_xmi_native_syntax_pass,sysml_xmi_rule_only_syntax_pass,sysml_xmi_shots_1_syntax_pass,sysml_xmi_shots_3_syntax_pass,sysml_xmi_for_rule_and_shots_1_syntax_pass,sysml_xmi_for_rule_and_shots_3_syntax_pass
_18_0_1_ae502ce_1420059631321_500431_48468,17.462961,15.023396,9.37013,9.600107,8.616024,12.519725,0.5,0.625,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_4_ae502ce_1490835018465_929649_51616,16.062849,17.885014,10.815877,8.7995,9.848456,10.054126,0.75,0.75,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1418499450621_70545_45270,33.82522,14.65571,8.965564,9.469624,10.8731,11.159813,0.5,0.625,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_5_1_ae502ce_1499712055848_376913_54563,11.726211,14.253702,8.571056,9.311348,8.925913,8.81946,0.625,0.875,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1418499445972_64415_45257,14.668174,29.630393,11.417056,8.99216,10.387858,10.973382,0.75,0.75,0.25,0.25,0.25,0.25,1,1,1,1,1,1
_18_0_1_ae502ce_1419874573864_352890_47476,15.028031,8.122464,8.776355,9.865143,8.57984,11.146205,0.625,1,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1420059537487_402094_48402,14.078121,37.557665,9.060963,8.077399,8.386267,8.698238,0.625,0.75,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1418498658467_402817_45140,20.439733,23.314423,9.409477,10.036579,9.667516,10.455265,0.625,0.625,1,1,0.25,0.25,1,1,1,1,1,1
_18_0_1_ae502ce_1419874569901_220986_47460,9.069753,16.035729,9.617515,9.850031,9.081774,10.150323,1,0.875,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1420059769133_399142_48682,17.669883,36.922928,9.760137,9.431912,10.228663,10.828373,0.5,0.375,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1419874578060_534452_47490,9.347315,17.168479,8.10937,9.702595,8.282307,10.119944,0.875,0.75,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1419874936829_903352_47590,13.147349,16.966703,9.26345,10.088287,10.209735,9.000607,0.375,0.875,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1419874970572_767997_47633,12.972835,14.952963,9.180616,9.304901,10.019476,13.146591,0.625,0.75,1,1,1,1,1,1,1,1,1,1
_18_1_ae502ce_1424291578446_682623_48522,8.78637,19.456616,9.0479,8.732204,8.334834,8.17845,1,0.75,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1421604109782_375891_47888,21.959282,14.644183,9.104565,9.63996,10.124885,10.843159,0.5,0.375,1,1,0.25,0.25,1,1,1,1,1,1
_18_0_1_ae502ce_1418498601449_356817_45124,10.299816,14.583668,7.872388,10.128673,8.900427,8.821904,0.375,0.875,1,1,1,1,1,1,1,1,0,1
_18_0_1_ae502ce_1418498592479_785030_45109,24.528374,29.233178,9.704337,9.667616,18.109769,10.227987,0.5,0.25,1,1,0,1,1,1,1,1,1,1
_18_1_ae502ce_1424291570733_905635_48503,16.383637,22.552723,8.940168,10.01507,7.567083,12.682455,0.375,0.75,0.5,0.5,0.5,1,1,1,1,1,1,1
