id,time_cost_native,time_cost_rule_only,time_cost_shots_1,sysml_xmi_shots_3,time_cost_shots_3,retrived_shots_for_rule_and_shots_1,sysml_xmi_for_rule_and_shots_1,time_cost_for_rule_and_shots_1,retrived_shots_for_rule_and_shots_3,sysml_xmi_for_rule_and_shots_3,time_cost_for_rule_and_shots_3,sysml_xmi_native_score_by_llm,sysml_xmi_rule_only_score_by_llm,sysml_xmi_shots_1_score_by_llm,sysml_xmi_shots_3_score_by_llm,sysml_xmi_for_rule_and_shots_1_score_by_llm,sysml_xmi_for_rule_and_shots_3_score_by_llm,sysml_xmi_native_syntax_pass,sysml_xmi_rule_only_syntax_pass,sysml_xmi_shots_1_syntax_pass,sysml_xmi_shots_3_syntax_pass,sysml_xmi_for_rule_and_shots_1_syntax_pass,sysml_xmi_for_rule_and_shots_3_syntax_pass
_18_0_1_ae502ce_1419538833553_500135_45249,26.166929,37.799068,25.53256,,,,,,,,,,,,,,,,,,,,
"579687390141_853542_85388"""" target=""""_19_0_3_534018e_1579687284391_20630_85338""""/>",,,,,,,,,,,,,,,,,,,,,,,
"        <transition xmi:type=""""uml:Transition"""" xmi:id=""""_19_0_2_3b4012e_1557759016515_62788_43605"""" visibility=""""public"""" source=""""_19_0_2_3b4012e_1557759016516_980370_43610"""" target=""""_19_0_2_3b4012e_1557759016516_658142_43611"""">",,,,,,,,,,,,,,,,,,,,,,,
"          <trigger xmi:type=""""uml:Trigger"""" xmi:id=""""_19_0_2_3b4012e_1557759016520_237406_43661"""" visibility=""""public"""" event=""""_19_0_2_3b4012e_1557759222439_794100_45519""""/>",,,,,,,,,,,,,,,,,,,,,,,
        </transition>,,,,,,,,,,,,,,,,,,,,,,,
"        <transition xmi:type=""""uml:Transition"""" xmi:id=""""_19_0_3_534018e_1579687369383_941592_85382"""" visibility=""""public"""" source=""""_19_0_3_534018e_1579687284391_20630_85338"""" target=""""_19_0_3_534018e_1579687298559_566447_85356"""">",,,,,,,,,,,,,,,,,,,,,,,
"          <effect xmi:type=""""uml:Activity"""" xmi:id=""""_2021x_3b4012e_1601986877411_349621_18636"""" name=""""Reset Energy Consumption"""">",,,,,,,,,,,,,,,,,,,,,,,
"            <edge xmi:type=""""uml:ControlFlow"""" xmi:id=""""_2021x_3b4012e_1601986877409_435826_18632"""" visibility=""""public"""" source=""""_2021x_3b4012e_1601986877408_270587_18629"""" target=""""_2021x_3b4012e_1601986877408_824653_18631"""">",,,,,,,,,,,,,,,,,,,,,,,
"              <weight xmi:type=""""uml:LiteralUnlimitedNatural"""" xmi:id=""""_2021x_3b4012e_1601986877410_835449_18633"""" value=""""1""""/>",,,,,,,,,,,,,,,,,,,,,,,
            </edge>,,,,,,,,,,,,,,,,,,,,,,,
"            <edge xmi:type=""""uml:ControlFlow"""" xmi:id=""""_2021x_3b4012e_1601986877410_320859_18634"""" visibility=""""public"""" source=""""_2021x_3b4012e_1601986877408_824653_18631"""" target=""""_2021x_3b4012e_1601986877408_153248_18630"""">",,,,,,,,,,,,,,,,,,,,,,,
